ID,Ссылка на страницу с игрой,Название игры,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание игры,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12
515,https://r-games.net/515-crack.html,CRACK,,MacroSoft,1991,БК0010,"Логическая, Аркада",1991,,,Русский,"Вам предстоит выполнить тяжелую задачу, пройти все лабиринты, собрав все клады. Будьте осторожны, сокровища хорошо охраняются.",crack1f71.zip,,crack_alt7674.zip,,super_crackcce0.zip,,,,,,1493298415_3.png,,,,,,,,,,,
642,https://r-games.net/642-crazy-flight.html,CRAZY FLIGHT,Я & Я Corp.,,1993,БК0010,Лабиринт,1993,,,,Ваша задача управляя вертолетом найти в лабиринте знак Я & Я Corp.,crazy_flightcded.zip,,,,,,,,,,,,,,,,,,,,,
343,https://r-games.net/343-crazy-street-bk0011m.html,CRAZY STREET (БК0011М),Бушенев С.В.,BSV & PAN,1996,БК0011М,Демо,1996,,,,"Странное существо, именуемое Чудик, должно пройти городскую улицу наполненную не менее странными обитателями, которые так и норовят высосать его жизненную энергию. Оружием главного героя являются его ноги и магическая волна. Чтобы убить врага достаточно раздавить его, что сделать не так уж просто. Игра является демонстрационной и содержит только один уровень.",crazy-street7672.zip,,,,,,,,,,,,,,,,,,,,,
20843,https://r-games.net/20843-crime-saloon.html,CRIME SALOON,"MEGA BEST SOFTWARE, SIGMA GRAPHICS, KLAN SOFT",SAMARA,1995,БК0011М,Стрелялка,1995,SIGMA GRAPHICS,KLAN SOFT,Английский,"Игра для светового пистолета. Ваша задача подстрелить как можно больше бандитов, появляющихся в различных окнах SALOONa. С каждым уровнем сложности игры возрастает. Чтобы насладится всеми прелестями игры, запускать её лучше в ЭМУЛЯТОРе 3000, т.к. он поддерживает эмуляцию светового пистолета.",saloon925e.zip,,,,,,,,,,,,,,,,,,,,,
905,https://r-games.net/905-cybernoid.html,CYBERNOID (THE FIGHTING MACHINE),"Кутяков Владимир, KUVO PICTURES",CAROLINE SOFTWARE,1994,БК0011М,Лабиринт,1994,KUVO PICTURES,,,"События игры происходят в XXV веке, беспечные земляне слишком поздно узнают об опасности, вселенского по своим масштабам и беспрецедентно жестокое вторжение объединенных боевых армад не гуманоидов застает землю врасплох.Начинается чудовищная война, а точнее истребление практически беззащитного перед натиском сверх цивилизации человечества. Пространственный кошмар (Апокалипсис XXV-го века) и в гуще событий - Вы в суперсовременном кибернетизиированном космолете. Ваша задача - уничтожить как можно больше всякой нечисти, для этого у Вас есть 5 видов оружия, которое можно выбирать с помощью клавиш 1-5 и выбранной кнопкой на джойстике. Вам необходимо пройти 4 зоны.",cybernoid9d9a.zip,,,,,,,,,,,,,,,,,,,,,
643,https://r-games.net/643-cybernoid-the-fighting-machine.html,CYBERNOID (THE FIGHTING MACHINE),SAV Corp.,,1995,БК0010,Лабиринт,1995,,,"Русский, Английский","На вашей планете, глубоко под землей, в одной из шахт в которых добывались радиоактивные элементы появились огромные разумные растения. Они захватили центральный компьютер и на Вашей планете начался хаос, вся электроника перестала Вам подчиняться. Вашей задачей является уничтожение всех этих растений.",cybernoid1237d.zip,,,,,,,,,,1340780190_1.jpg,1297329545_3.jpg,,,,,,,,,,
756,https://r-games.net/756-dan-dare-pilot-of-the-future.html,DAN DARE PILOT OF THE FUTURE,STAS,,1993,БК0010,Ралли,1993,,,,"Что можно сказать про эту игру, точная копия Star Wars Return of Jedi ...",dandaree5df.zip,,,,,,,,,,1297685391_1.jpg,1297685363_2.jpg,1297685376_3.jpg,,,,,,,,,
32565,https://r-games.net/32565-dangerous.html,DANGEROUS,Тюрев Дмитрий,TD corp.,,БК0010,Ралли,,,,,"Игра чем то напоминает игру РАЛЛИ. Вам необходимо проехать по извилистой дороге (вид сверху), при этом не влететь в бордюр на поворотах.",dangeros7d69.zip,,,,,,,,,,1405323561_r-games.net_1.png,1405323567_r-games.net_2.png,,,,,,,,,,
878,https://r-games.net/878-dangerous-dave-bk0010-beysik.html,DANGEROUS DAVE-БК0010 (БЕЙСИК),,,,БК0010-01 БЕЙСИК,,,,,,"Давным-давно в одном городе жил ДЕЙВ и зашел он в замок с монстрами, и сражался с ними, и было у него 5 жизней...",dangerousdavesbasic0ef0.zip,,,,,,,,,,1488271643_1.png,1488271645_2.png,1488271622_3.png,,,,,,,,,
344,https://r-games.net/344-dangerous-raid.html,DANGEROUS RAID,"HELL Graphics, VApicture",KDA,1994,БК0010,Аркада,1994,VApicture,,Английский,"В первой части ползает дебильный удав запросто поедает 10 контейнеров с радиоактивными отходами. Происходит мутация, и новоявленный мужик вылезает из люка. Подробнее смотрите в концовке. Затем подгружается картинка, а за ней и вторая часть. На ней и остановимся. Задав джойстик, кнопки и или что-нибудь еще, начинаем играть. Вверху Вы увидите меню из пяти пунктов. Их назначение: 1. Хождение по городу. 2. Бизнес. 3. Местные достопримечательности. 4. Для очень жадных людей. 5. Телепорт. В первом режиме можно ходить верх, влево, вправо, кидаться камнями (только вперед). Полицейских надо опасаться, поскольку у них в руках имеют место не хреновые дубинки, и они жутко недолюбливают мутантов-бизнесменов коим Вы и являетесь. Маньяков, хронов и наркоманов опасаться не следует. Во втором режиме Вы увидите таблицу с тремя наименованиями товаров, их ценой и количеством. Если цена нулевая, то на экране не имеется соответственной личности. Хэмп любят наркоманы, виски - алики (свои люди), ну а маньяки просто не могут жить без порножурналов (paper). Кнопками верх и вниз можно перемещать инверсную строку, fire-ом продавать, select-ом выйти в основное меню. В третьем режиме (с наручниками) Вы сразу садитесь в тюрягу (шутка). Двигаясь во всех направлениях можно дойти к нищему и избить его ногами (fire). В ответ он может дать Вам по морде, что не очень приятно, так как отнимает энергию, или блаженный может почить, завещав Вам N-ную сумму денег. В урнах можно покопаться таким-же акаром (см. выше). Если после разбития урны раздался булькающий звук, значит в Вашем кармане на одну мечту наркомана стало больше. Аналогично можно зайти и в подвал, где находятся два магазина. Совсем случайно перед Вами может появиться SEX-SHOP. Там вас встретит лысый карлик, и предложит уникальный ассортимент. Единственную ценность представляет касса. Но если на экране появилась палатка с отважным Харитоном, то можете смело покупать журнальчики, МАРСы (повышающие энергию, не более 1000), виски, вагоны вил (очень полезны для здоровья которые временно перестает реагировать на ментов). Select-ом Вы можете вернуться в город. Следующий режим (с мешком баксов) предназнач для жадных людей, попробуют - обломаются. Последний режим перекидывает Вас в начало лабиринта с сохранением денег, товара, энергии, и.т.д. Цель игры - собрать десять тысяч денег, и конечно-же дойти до конца (в нормальном понимании этого слова). О близости этого самого конца Вы узнаете по хитрому звуку и белой полосе повыше меню, которая будет уменьшаться с каждым шагом. Если в это время у Вас мало денег, воспользуйтесь телепортом (не бойтесь, лабиринт не очень длинный). Остальное, Вы узнаете по ходу игры.",d_raid4b79.7z,,,,,,,,,,1343565642_1.jpg,1343565812_1.jpg,1343565955_1.jpg,1296731252_1.jpg,1296731170_2.jpg,,,,,,,
222,https://r-games.net/222-dark.html,DARK,ICB,,,БК0010,Леталка-Стрелялка,,,,,"Ваша задача - долететь на далекой планете до указанной цели, уворачиваясь или сбивая летающие тарелки врага.",darkbk131d.7z,,,,,,,,,,1395143765_r-games.net_1.png,1395143796_r-games.net_2.png,1395143714_r-games.net_3.png,1395143772_r-games.net_4.png,1395143761_r-games.net_5.png,1395143711_r-games.net_6.png,,,,,,
48357,https://r-games.net/48357-dark-arena-bk3d.html,DARK ARENA (BK3D),APRAKSIN DMITRY,,2024,БК0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20773,https://r-games.net/20773-dark-fusion-2.html,DARK FUSION 2,Чистяков Александр,BILATERAL STAMP,1994,БК0010,Леталка-Стрелялка,1994,,,,"Леталка, немного напоминающая XENON",fusion7bf1.zip,,,,,,,,,,,,,,,,,,,,,
31702,https://r-games.net/31702-dark-fusion-3-demo.html,DARK FUSION 3 + ДЕМО ВЕРСИЯ,"Чистяков Александр, GREMLIN",BILATERAL STAMP,1994,БК0010,Леталка-Стрелялка,1994,GREMLIN,,,"Леталка, немного напоминающая XENON",fusion3572a.zip,,,,,,,,,,1370333352_1.png,1370333396_2.png,1370333303_3.png,1370333360_4.png,1370333318_5.png,1370333312_6.png,,,,,,
796,https://r-games.net/796-darklon.html,DARKLON,"Ивченко А., Макошенко Д.",AD corp.,,БК0010,Лабиринт,,,,Русский,"Запустив эту игру первый раз Вы, конечно же, подумаете ""что за ерунда"", но так и было задумано. На первых экранах Вы видите игру-шутку, пропустить которую можно нажав, в эмуляторе на клавишу ESC или СТОП на клавиатуре БК, дальше всё по настоящему.",darklonf38d.zip,,,,,,,,,,,,,,,,,,,,,
20674,https://r-games.net/20674-darklon.html,DARKLON,"Ивченко А., Макошенко Д. (AD corp.)",Real CO.,1993,БК0010,Лабиринт,1993,,,,,darklon27700.zip,,,,,,,,,,,,,,,,,,,,,
30986,https://r-games.net/30986-death-star-beysik.html,DEATH STAR (БЕЙСИК),Марков М.,M corp.,,БК0010-01 БЕЙСИК,Платформа,,,,Английский,"Эта игра имеет ещё одно название EXOLON, причем от того же автора.",Death_Star853d.7z,,,,,,,,,,1358852359_1.png,1358852319_2.png,1358852353_3.png,,,,,,,,,
223,https://r-games.net/223-death-star-1.html,DEATH STAR 1,"Перов К. А., Соколов С.А.",CAROL corp.,1989,БК0010,Леталка-Стрелялка,1989,Соколов С.А.,,,"Игра сделана по мотивам фильма ""Звёздные войны 4"". В основе-сюжет полета главных героев на развалюхе Хэна Соло к планете, по пути к которой их перехватила Звезда Смерти",death_star184ad.7z,,,,,,,,,,,,,,,,,,,,,
224,https://r-games.net/224-death-star-2.html,DEATH STAR 2,"Перов К. А., Соколов С.А.",CAROL corp.,1989,БК0010,Леталка-Стрелялка,1989,Соколов С.А.,,,Ваша задача: На легком одноместном истребителе пролететь по коридору и сбросить в шахту протонную торпеду.,death_star2a6b9.7z,,,,,,,,,,,,,,,,,,,,,
644,https://r-games.net/644-defender.html,DEFENDER,Шарапов Алексей,Mial,1994,БК0010,Лабиринт,1994,,,,"Управляя человеком Вы должны собирать золото в лабиринтах, обитатели лабиринта, естественно, будут Вам мешать.",defender70d2.7z,,,,,,,,,,1340779946_1.jpg,1297329805_1.jpg,1297329879_2.jpg,,,,,,,,,
115,https://r-games.net/115-demo-3d.html,DEMO 3D,,,1995,БК0011М,Демо,1995,,,,В данной демо-программе можно побродить по 3D лабиринту.,demo3d0fa3.zip,,,,,,,,,,1395920039_r-games.net_1.png,1395920010_r-games.net_2.png,,,,,,,,,,
645,https://r-games.net/645-demon-stalker.html,DEMON STALKER,KV,,1991,БК0010,Лабиринт,1991,,,,,ds1f1b.zip,,demonstalkerbd4c.zip,,,,,,,,1297330075_1.jpg,1297330048_2.jpg,1297330065_3.jpg,,,,,,,,,
117,https://r-games.net/117-depeche-mode-demo-bk0011m.html,DEPECHE MODE (ДЕМО) (БК0011М),MTW corp.,,1995,БК0011М,Демо,1995,,,,Демка для любителей группы DEPECHE MODE,dd2demo2d52.zip,,,,,,,,,,1395915682_r-games.net_1.png,,,,,,,,,,,
345,https://r-games.net/345-descent.html,DESCENT,MS corp.,,1989,БК0010,Аркада,11.08.1989,,,,Война летающих тарелок.,descentfd36.zip,,,,,,,,,,1311836726_1.jpg,1296731329_1.jpg,1296731361_2.jpg,,,,,,,,,
48327,https://r-games.net/48327-desolate.html,DESOLATE,"Patrick Prendergast (tr1p1ea), Nikita Zeemin (nzeemin), Alexander ""Sandro"" Tishin",,2021,БК0011М,Логическая,2021,,,Английский,"Desolate - ролевая игра изначально разработана для калькуляторов серии TI-83/84 (+) Patrick Prendergast (tr1p1ea) в 2004г. В игре несколько головоломок, которые нужно решить, чтобы дойти до конца игры. В 2020г Nikita Zeemin (nzeemin) портировал игру на компьютер УК-НЦ, в 2021 году версия с УК-НЦ адаптированна для БК0011М Alexander ""Sandro"" Tishin. Сюжет игры. Космический крейсер ""The Desolate"" покидает орбиту. Его миссия секрет, груз засекречен. В 6014 цикл путешествия, корабль попадает в метеоритный дождь. Связь с ""The Desolate"" утеряна. Корабль получил серьезные повреждения. На борту корабля в криогенной инкубационной камере завершается реанимация. Обитатель выходит из камеры не зная кто он и что делать. Управление -- стрелки, пробел/ввод -- действие, Q переключает стрельбу/исследование, I - инвентарь, P - пауза/меню. Коды к замкам при повторном прохождении не подходят (кроме замков первого уровня).",desolate017e41.zip,,,,,,,,,,,,,,,,,,,,,
225,https://r-games.net/225-destroyer.html,DESTROYER,"Ивченко Андрей, Макошенко Денис, Laser Soft (Рей Владимир)",AD corp.,1992,БК0010,Леталка-Стрелялка,1992,Laser Soft (Рей Владимир),,,"Продолжение культовых игр Освободитель и Ninja Turtles, теперь Ваша задача мстить ненавистным инопланетянам на их родной планете.",Destroyer3d27.zip,,,,,,,,,,,,,,,,,,,,,
226,https://r-games.net/226-destructive-flight.html,DESTRUCTIVE FLIGHT,Дженгуров Г.В.,АКТ,1991,БК0010,Леталка-Стрелялка,1991,,,,"Разрушительный рейд. Нелегко Вам придется на пути к месту назначения - аэродрому N. Воздушное пространство контролируется войсками ПВО и авиации противника. Тем не менее, мы думаем, что Вы справитесь с этой задачей.",destructive_flightb6cc.7z,,,,,,,,,,1395142974_r-games.net_1.png,1395142979_r-games.net_2.png,1395142990_r-games.net_3.png,1395143073_r-games.net_4.png,,,,,,,,
36943,https://r-games.net/36943-diamond.html,"DIAMOND (1, 2, 3)",,,1989,БК0010,Лабиринт,1989,,,,"В этой игре вы играете за горняка, который должен добыть определённое количество алмазов, чтобы перейти на следующий уровень. Однако будьте осторожны: на руднике вас поджидают множество опасностей. Камни могут стать причиной травм или даже смертельной ловушки.",diamond18bdb.zip,,diamond2eb38.zip,,diamond347b6.zip,,diamond_1_3_fixc581.zip,,,,diamond_1_1.png,diamond_1_2.png,diamond_1_3.png,diamond_1_4.png,diamond_2_1.png,diamond_2_2.png,diamond_2_3.png,diamond_3_1.png,diamond_3_2.png,diamond_3_3.png,diamond_fix_1.png,diamond_fix_2.png
346,https://r-games.net/346-diamond.html,DIAMOND (AKT),Дженгуров Г.В.,АКТ,,БК0010,Аркада,,,,,"В этой игре необходимо собрать все алмазы, на экране, для перехода в следующий зал.",diamond0c81.zip,,,,,,,,,,1343565379_1.jpg,1296731646_1.jpg,,,,,,,,,,
827,https://r-games.net/827-dicer-beysik.html,DICER (БЕЙСИК),BARD COMPUTER,,1988,БК0010-01 БЕЙСИК,Азартная,12.04.1988,,,,,dicerbasic06e0.zip,,,,,,,,,,1297838726_1.jpg,1297838744_2.jpg,,,,,,,,,,
646,https://r-games.net/646-dick-tracy-1-beysik.html,DICK TRACY (БЕЙСИК),Imperia company,,1992,БК0010-01 БЕЙСИК,Лабиринт,1992,,,,Ваша задача: найти и спасти свою девушку из лап бандита Биг Боя. Игру добавил Eggman,tracy1f59e.zip,,,,,,,,,,1340779731_1.jpg,1297330301_3.jpg,,,,,,,,,,
347,https://r-games.net/347-diday.html,DIDAY,Бортник Борис,BIL corp.,1990,БК0010,Аркада,1990,,,Русский,"Первая игра Бориса Бортника. Задача: управляя воздушным шаром, используя потоки ветра, корректируя высоту полета горелкой, сесть на вышку, стоящую внизу в центре экрана.",didayaab5.zip,,,,,,,,,,1296731876_2.jpg,1296731843_1.jpg,1296731856_3.jpg,,,,,,,,,
348,https://r-games.net/348-digger.html,DIGGER,SHW&AW,,1990,БК0010,Аркада,1990,,,Русский,"К моменту создания этой игры владельцы компьютеров БК-0010 и БК-0010.01 уже могли получить представление об известной игре ""DIGGER"", созданной фирмой ""Windmill Software"" в 1983 году для компьютеров IBM PC. Уже было написано несколько программ с забавным ДИГГЕРОМ-землекопом и его преследователями - НОББИНАМИ. Некоторые программы были весьма упрощенные, некоторые же были вполне совершенными, но значительно отличались от оригинала. Исходный же, ""АЙБИЭМОВСКИЙ"" вариант игры - настолько привлекательный и интересный, что не реализовать его для БК было просто невозможно.",digger9dd0.zip,,digger-ru1990shw-aw700t3991.zip,,digger-ru1990shw-aw760p68cc.zip,,digger-ru1990shw-aw10001b78.zip,,digger-ru1990shw-aw1000p7fdf.zip,,1312518938_1.jpg,1312518887_2.jpg,1312518963_3.jpg,,,,,,,,,
349,https://r-games.net/349-digger-the.html,"DIGGER, THE",Piton,,,БК0010,Аркада,,,,Английский,"Задачей игрока является сбор под землёй золота и драгоценных изумрудов. В вашем распоряжении моторизированная машина, способная рыть туннели, но не всё так просто. Туннели кишат злобными ноббинами, встреча с которыми не сулит для вас ничего хорошего.",thediggera04d.zip,,,,,,,,,,1488279280_1.png,1488279304_2.png,1488279323_3.png,,,,,,,,,
846,https://r-games.net/846-dizzy-1.html,DIZZY 1,Дубовицкий Ю.,MTU Corp.,1993,БК0010,Квест,1993,,,,"Первое приключение Диззи на БК. Итак, познакомьтесь: Диззи. По своей природе он яйцо. Причем маленькое и разумное. Отдаленно он напоминает Шалтая-Болтая из ""Алисы в Зазеркалье"", но если Шалтай-болтай личность мало симпатичная, то Диззи - само обаяние и он всегда улыбается. У Диззи есть подружка Дейзи и множество друзей и родственников. Все они тоже яйца и живут на деревьях. В это утро Диззи решил прогуляться и повидать своих друзей. Он бесцельно бродил по лесу и вдруг увидел Данни, который висел на ветке дерева. Данни отчаянно дергался и что-то кричал. Диззи решил помочь другу и пошел искать ДЛИННУЮ ВЕРЕВКУ. Когда Диззи подошел к домику дедушки, то не застал его дома. Диззи хотел прыгнуть в подземелье, где его дедушка часто что-то делал, но вспомнил, что выбраться оттуда не так-то просто. Для этого надо иметь КОРОТКАЮ ВЕРЕВКУ. Диззи решил попросить веревку у своих друзей. По мостикам на деревьях он добрался до трехэтажного домика друзей и тут сильно удивился: никого не было дома. Правда он нашел, что искал. Рядом с домиком лежала КОРОТКАЯ ВЕРЕВКА. Диззи спустился с дерева и прыгнул в подземелье. Там было довольно светло: горели факела. Диззи пошел влево и вскоре увидел странную машину. Ее сделал дедушка. Для того чтобы завести машину нужен ЗАВОДНОЙ РЫЧАГ. Его поблизости не оказалось. Правда Диззи нашел ДЛИННУЮ ВЕРЕВКУ. Диззи пошел обратно и с помощью КОРОТКОЙ ВЕРЕВКИ выбрался наверх. После он пошел к дереву, на котором висел его друг и с помощью ДЛИННОЙ ВЕРЕВКИ снял Данни с дерева. Данни поблагодарил Диззи и сообщил ужасную новость. В это утро Данни испробовал свои ЛЕТАЮЩИЕ БОТИНКИ и зацепился за ветку дерева. А в это время злой волшебник Зак унес всех друзей в Волшебную Страну и там заколдовал. Попасть в Волшебную страну можно с помощью машины дедушки. Данни дал Диззи ЛЕТАЮЩИЕ БОТИНКИ. Оказалось, что теперь Диззи сможет ходить по облакам. Он решил во чтобы то не стало спасти своих друзей. Диззи прыгнул на облако и к своему удивлению остался на нем стоять. По облакам он добрался до домика Данни, где нашел ЗАВОДНОЙ РЫЧАГ. Перед путешествием Диззи решил зайти к себе домой. Дома он взял МАШИННОЕ МАСЛО. ""Пригодится."" - подумал Диззи. Теперь он шел обратно в подземелье. Добравшись до машины Диззи попробовал ее завести, но она сильно заржавела. Диззи смазал машину МАШИННЫМ МАСЛОМ и попробовал завести еще раз. Машина почему-то не завелась. Только с третьей попытки машина заработала и Диззи полетел в Волшебную страну.Какие приключения ждут Диззи дальше? Это Вы узнаете из второй части игры.",dizzy1f79a.7z,,,,,,,,,,,,,,,,,,,,,
847,https://r-games.net/847-dizzy-1-bk0011m.html,DIZZY 1 (БК0011М),Тюрев Дмитрий,Magic Bytes Software,,БК0011М,Квест,,,,Русский / Английский,"Оригинальное описание к игре:Вашему вниманию предлагается полное описание крутейшей игрушки года (во загнул!)- DIZZY1 by MAGIC BYTES (TD corp.).DIZZY является одной из немногих игр, в которые можно играть на SPEcTRUME {:-) }, теперь эта игрушка есть и на БК0011М (в принципе она работает на БК0011, но без звука и без использования переключения экранов).Весьма примечательным фактом является то, что эта игра не полностью тупо содрана, а переработана (в положительную сторону), и заглянув в описания 500 дней (ой! игр) для SPEcTRUMA, Вы не обнаружите полного сходства с тамошним DIZZY.Итак к делу.Задание управления производится во время бегущей строки:Ввод (ENTER)- переключение палитр; пробел - начало игры;any key - задание управления от джойстика.Управление происходит параллельно от клавиатуры и джойстика. Управление от клавиатуры построенно очень оригинально (ранее так никто не делал):←,→ - ходить; ↑ - прыжок; АР2+←, АР2+→ - сальто;↓ - посмотреть содержимое сумки; в этом режиме: ←,→ - перемещение курсора по списку. ↑ - выйти из режима.Цель игры: собрать 20 монет и освободить Дайзи (подруга Диззи). Остальное надо понимать по ходу дела.1. Пойти влево и взять сонный порошок.2. Пойти вверх-налево, переключить рубильник и взять монету.3. Вернуться назад и пойти вверх-вправо, взять монету в бочке.4. Идти влево, взять корову.5. Подойти к дракону и выложить сонный порошок.6. В родник можно падать.7. Дать торговцу корову (стоя слева выложить её), взять боб.8. Посадит боб в плодородную землю (бугорок в экране с верёвкой).9. Залезть по мостикам на деревьях вверх.10. На площадке возмите монету она находится ближе к краю, хотя её и не видно.11. Возьмите наверху колбу с жидкостью и вернитесь в предыщущий экран опять на лифт.12. Встав за 1 шаг от края, сделайте сальто влево. Вы должны попасть на облако с монетой.13. С края облака сделайте сальто влево и возьмите кувшин с водой.14. Идите влево к старику с клюкой.15. Заберитесь наверх и ""потушите"" огонь водой из кувшина.16. Путь свободен. Возьмите ведро и монету в бочке.17. Спускайтесь вниз и идите влево.18. Наполните ведро водой из родника и полейте ей боб. Выложите колбу с жидкостью рядом с верёвкой.19. С соседнего экрана запрыгните на площадку на дереве, а с середины её на боб и на облако справа.20. С правого края облака сальто влево.21. По облакам влево, а затем вправо.22. Спрячтесь от птицы под облаком, и как только она зайдёт за него, бегите вправо.23. В центральной бочке монета. С края бочки прыгните вправо, поднимитесь вправо вверх, возьмите монету. А вот она и Дайзи в цепях. Идите влево, но не прыгайте через факел, а опуститесь вниз и снизу прыгните влево, а потом ещё влево. Возьмите кирку. Упадите влево.24. Идите вправо. Бутылку виски не берите.25. Упадите в яму возьмите монету и продолжайте идти влево.26. На верху груды камней возьмите коврик.27. А теперь в самый первый экран, где брали сонный порошок.28. Видите 2 отдельных камушка. Где там Ваша кирка?29. Возьмите яблоко, кость и монету.30. И опять вправо в экран с бобом. Выложите яблоко и коврик, а возьмите верёвку и жидкость.31. А теперь влево, под землю. Дайте кость единорогу.32. Следующий экран перекрыт водой. Стоя с краю, выложите колбу.33. Вы боитесь крокодилов? Стоя на краю, когда пасть крокодила закрыта прыгните на него и свяжите его верёвкой.34. Ну всё, можете подкрепить свои силы яйцом и взять ещё одну монету.35. А теперь снова к бобу. Взять яблоко и коврик. Опять наверх в воздушный замок освобождать Дайзи. Сейчас у Вас должно быть не менее 19 монет!36. Осторожно с правого края ступеньки запрыгните на верх и положите коврик на шипы (а точнее рядом с ними).37. Угостите Троля яблоком и он пропустит Вас.Happy end!Далее следует концовка игры...какая?...пройдёте увидете!Описание составил (от безделья)Тимофеев Андрей (Terra software, Inc.) 14.06.1994",dizzybk11bd1b.zip,,,,,,,,,,,,,,,,,,,,,
848,https://r-games.net/848-dizzy-2.html,DIZZY 2,Дубовицкий Ю.,MTU Corp.,1994,БК0010,Квест,1994,,,,"Продолжение сериала Dizzy. Итак, Диззи попал в Волшебную Страну. ""Где Я?"" - подумал он. Оказывается Диззи попал в Старый Замок. Да, да, в настоящий замок с факелами на стенах, привидением в подвале и принцем, который сидит на троне. Но почему же Диззи очутился именно здесь? Оказывается, злой волшебник Зак превратил подружку Диззи Дору в лягушку и прятал в замке. Расколдовать её можно классическим способом, впрочем подумайте сами...",dizzy28219.7z,,,,,,,,,,,,,,,,,,,,,
849,https://r-games.net/849-dizzy-3.html,DIZZY 3,Дубовицкий Ю.,MTU Corp.,1996,БК0010,Квест,1996,,,,Приключения Dizzy в волшебной стране продолжаются,dizzy392b2.zip,,,,,,,,,,1310550265_1.jpg,1297845377_1.jpg,1297845317_2.jpg,1297845343_3.jpg,,,,,,,,
41283,https://r-games.net/41283-domino-beysik.html,DOMINO (БЕЙСИК),,,,БК0011 БЕЙСИК,Логическая,,,,,28 косточек домино уложены одним слоем в коробку размером 7х8. Требуется найти и ограничить их.,bibliotechka_kvantv.006.1980.djv-fax25c0.zip,,dmnd6aa.zip,,,,,,,,1473412038_1.png,1473412022_2.png,1473411968_3.png,,,,,,,,,
20758,https://r-games.net/20758-dominoes.html,DOMINOES,PUFIX ltd,,2000,БК0010,Логическая,2000,,,Русский / Английский,"В этой головоломке перед Вами будет расположен комплект домино, т.е. 28 костей. Границы между костями стёрты, Вы должны за минимальное время обозначить, где какая кость.",dominoes0aa3.zip,,,,,,,,,,,,,,,,,,,,,
120,https://r-games.net/120-donald-duck-neobychnaya-shlyapka-komiks.html,DONALD DUCK - НЕОБЫЧНАЯ ШЛЯПКА (КОМИКС),Насыров Дамир (Damir Nasyroff),NDR studio,,БК0011М,Демо,,,,Русский,Отлично нарисованный комикс про DONALD DUCKа,donald_bk10d5e8.zip,,donaldduck7ff7.zip,,,,,,,,1395913664_r-games.net_1.png,1395913597_r-games.net_2.png,1395913605_r-games.net_3.png,1395913656_r-games.net_4.png,,,,,,,,
227,https://r-games.net/227-dragon-fly-episode-5-beysik.html,DRAGON FLY! (EPISODE 5) (БЕЙСИК),Шишканов Д.,ELMSOFT,1991,БК0010-01 БЕЙСИК,Леталка-Стрелялка,20.09.1991,,,,В этой игре Вам предстоит преодолеть четыре тяжелых перелета на боевой машине давнего прошлого - гигантском драконе. Управляет им друид из игры ENIGMA (ELMSOFT).,dragonbasiccd0d.7z,,,,,,,,,,1395142419_r-games.net_1.png,1395142438_r-games.net_2.png,1395142408_r-games.net_3.png,1395142458_r-games.net_4.png,1395142396_r-games.net_5.png,,,,,,,
350,https://r-games.net/350-drop-zona.html,DROP ZONA,Савин В. (SW corp.),USER Corp.,1989,БК0010,Аркада,1989,,,,"На вашу планету напали коварные враги! Вы последняя надежда планеты. В вашем распоряжении есть супер оружие, гравитационное кресло которое поможет сокрушить врага.",dropzona5e38.zip,,,,,,,,,,1296732495_1.jpg,1296732483_2.jpg,1296732474_3.jpg,1296732491_4.jpg,,,,,,,,
948,https://r-games.net/948-duck-hunt.html,DUCK HUNT,Кутяков Владимир,CAROLINE SOFTWARE,,БК0011М,Стрелялка,,,,Английский,"Игра со световым пистолетом. Суть игры такая, вы идете со своей домашней собакой стрелять уток. Вы подстреливаете их, утки падают, а собака их собирает. Ваша мечта, как и у любого охотника, подстрелить как можно больше уток, чтобы похвастаться друзьям сколько много вы сбили уток. Но ваши достижения пока не очень большие и над этим количеством смеются даже ваша собака и утки. Естественно по уткам, которые находятся за экраном вы сможете стрелять в любой момент, а в реальные только в открытые сезоны охоты. И может стреляя световым пистолетом вы поможете себе и на настоящей охоте.",duckhunt83a6.zip,,,,,,,,,,1299755117_1.jpg,1299755123_2.jpg,1299755163_3.jpg,1299755119_4.jpg,,,,,,,,
127,https://r-games.net/127-duck-tales-demo.html,DUCK TALES DEMO,Quantum Software,Lifecycle,1995,БК0010,Демо,1995,,,,Демонстрация так и не вышедшей игры.,ducktalescfa2.zip,,,,,,,,,,1395907327_r-games.net_1.png,1395907407_r-games.net_2.png,1395907363_r-games.net_3.png,,,,,,,,,
647,https://r-games.net/647-duggey.html,DUGGEY,MCS,,,БК0010,Лабиринт,,,,,"Игра очень напоминает digger, но в данной игре введен ряд дополнительных возможностей, например стрелять вправо и влево.",duggeyb25c.zip,,,,,,,,,,,,,,,,,,,,,
